variable_1,variable_1_label,variable_2,variable_2_label,n,pearson_r,p_value
acer_count_per_tree_count,Maple abund. (% of trees),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.242002,0.127407
diffuse_prop,D-porous abund. (% trees),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.241104,0.128868
tax_richness_per_hectare,Tax. richness,street_tree_percent,Street trees (% of trees),41,0.240009,0.130668
tax_richness_per_hectare,Tax. richness,diffuse_height_prop,D-porous abund. (% height),41,0.230972,0.146242
health_color_squared,Color. & Intact. (% canopy),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.230200,0.147633
arbuscular_prop,AMF abund. (% of trees),acer_count_per_tree_count,Maple abund. (% of trees),41,0.222965,0.161144
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),arbuscular_height_prop_squared,AMF abund. (% height),41,-0.220465,0.166015
mean_height_log,Mean Height,tree_health_mean,Intactness (% canopy),41,-0.217098,0.172744
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),diffuse_prop,D-porous abund. (% trees),41,0.215292,0.176432
diffuse_prop,D-porous abund. (% trees),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.212432,0.182387
genera_richness_per_hectare,Genus richness,genera_true_evenness,Genus evenness,41,-0.211682,0.183972
genera_richness_per_hectare,Genus richness,acer_height_sum_prop,Maple abund. (% height),41,0.208549,0.190700
mean_height_log,Mean Height,soil_access_per_tree_count_sqrt,Soil restrictions,41,0.208404,0.191016
species_true_evenness,Tax. evenness,diffuse_height_prop,D-porous abund. (% height),41,-0.207576,0.192826
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.205657,0.197063
tax_richness_per_hectare,Tax. richness,species_true_evenness,Tax. evenness,41,-0.201173,0.207223
health_color_squared,Color. & Intact. (% canopy),soil_access_per_tree_count_sqrt,Soil restrictions,41,-0.200899,0.207855
tax_richness_per_hectare,Tax. richness,arbuscular_height_prop_squared,AMF abund. (% height),41,-0.200687,0.208345
street_tree_percent,Street trees (% of trees),acer_height_sum_prop,Maple abund. (% height),41,0.198152,0.214269
tree_health_mean,Intactness (% canopy),diffuse_height_prop,D-porous abund. (% height),41,0.197364,0.216133
street_tree_percent,Street trees (% of trees),percent_angio_cubed,Angio. abund. (% of trees),41,-0.192047,0.229011
tree_health_mean,Intactness (% canopy),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.189596,0.235123
health_color_squared,Color. & Intact. (% canopy),diffuse_height_prop,D-porous abund. (% height),41,0.186846,0.242106
genera_richness_per_hectare,Genus richness,diffuse_height_prop,D-porous abund. (% height),41,0.186476,0.243059
mean_height_log,Mean Height,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.185857,0.244654
genera_richness_per_hectare,Genus richness,acer_count_per_tree_count,Maple abund. (% of trees),41,0.185575,0.245382
mean_height_log,Mean Height,health_color_squared,Color. & Intact. (% canopy),41,-0.177596,0.266629
arbuscular_height_prop_squared,AMF abund. (% height),acer_height_sum_prop,Maple abund. (% height),41,0.173901,0.276867
stressors_sum_per_tree_count,Damage score,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,-0.171832,0.282709
street_tree_percent,Street trees (% of trees),acer_count_per_tree_count,Maple abund. (% of trees),41,0.170557,0.286352
arbuscular_height_prop_squared,AMF abund. (% height),acer_count_per_tree_count,Maple abund. (% of trees),41,0.170039,0.287840
arbuscular_prop,AMF abund. (% of trees),acer_height_sum_prop,Maple abund. (% height),41,0.165684,0.300547
tax_richness_per_hectare,Tax. richness,quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.161060,0.314425
soil_access_per_tree_count_sqrt,Soil restrictions,acer_count_per_tree_count,Maple abund. (% of trees),41,0.157823,0.324377
tree_health_mean,Intactness (% canopy),soil_access_per_tree_count_sqrt,Soil restrictions,41,-0.155408,0.331929
percent_angio_cubed,Angio. abund. (% of trees),diffuse_height_prop,D-porous abund. (% height),41,0.151251,0.345182
soil_access_per_tree_count_sqrt,Soil restrictions,acer_height_sum_prop,Maple abund. (% height),41,0.147283,0.358132
arbuscular_height_prop_squared,AMF abund. (% height),diffuse_height_prop,D-porous abund. (% height),41,0.145346,0.364559
stressors_sum_per_tree_count,Damage score,arbuscular_prop,AMF abund. (% of trees),41,-0.132630,0.408439
mean_height_log,Mean Height,health_color_height_prop_cubed,Canopy Health Index(height-wieghted),41,-0.127816,0.425807
species_true_evenness,Tax. evenness,stressors_sum_per_tree_count,Damage score,41,0.123510,0.441688
species_true_evenness,Tax. evenness,arbuscular_prop,AMF abund. (% of trees),41,0.123353,0.442272
species_true_evenness,Tax. evenness,percent_angio_cubed,Angio. abund. (% of trees),41,-0.121423,0.449501
genera_richness_per_hectare,Genus richness,arbuscular_prop,AMF abund. (% of trees),41,0.116786,0.467126
tree_health_mean,Intactness (% canopy),arbuscular_prop,AMF abund. (% of trees),41,0.115861,0.470684
species_true_evenness,Tax. evenness,health_color_squared,Color. & Intact. (% canopy),41,-0.113740,0.478899
stressors_sum_per_tree_count,Damage score,arbuscular_height_prop_squared,AMF abund. (% height),41,0.107789,0.502348
species_true_evenness,Tax. evenness,health_color_height_prop_cubed,Canopy Health Index(height-wieghted),41,-0.106498,0.507509
